id,title,company,location,salary_min,salary_max,created,category,description,salary_avg
5447338843,Network Infrastructure Engineer,EOS IT Company,"Sydney, Sydney Region",,,2025-10-15,IT Jobs,"Our Company EOS IT Solutions is a Global Technology and Logistics company, providing Collaboration and Business IT Support services to some of the world’s largest industry leaders, delivering forward-thinking solutions based on multi-domain architecture. Customer satisfaction and commitment to superior quality of service are our top business priorities, along with investing in and supporting our partners and employees. We are a true International IT provider and are proud to deliver our service…",0.0
5537241013,Network Operations & Build Engineer,EOS IT Company,"Sydney, Sydney Region",,,2025-12-11,IT Jobs,"Our Company EOS IT Solutions is a Global Technology and Logistics company, providing Collaboration and Business IT Support services to some of the world’s largest industry leaders, delivering forward-thinking solutions based on multi-domain architecture. Customer satisfaction and commitment to superior quality of service are our top business priorities, along with investing in and supporting our partners and employees. We are a true International IT provider and are proud to deliver our service…",0.0
5605866387,Production / Plant Engineer,Sabre Engineering Group Pty Ltd,"Lane Cove, Lane Cove Area",75000.0,85000.0,2026-01-30,Manufacturing Jobs,"Production / Plant Engineer Sabre Medical – Lane Cove West NSW 2066 Salary Guide $75,000 - $85,000 Sabre Medical is seeking a Production or Plant Engineer to join our state-of-the-art manufacturing facility in Lane Cove West. This is a hands-on role suited to an engineer who enjoys working closely with production, improving processes, and ensuring plant and equipment operate at optimum performance. About the Role Reporting to the Engineering and Operations team, you will be responsible for plan…",80000.0
5626391990,Mechanical Engineer Projects Supervisor,GDP Group,"Lane Cove West, Lane Cove Area",75000.0,80000.0,2026-02-13,Trade & Construction Jobs,"About GDP Group We are a National company employing 120 staff in Melbourne, Sydney & Brisbane, operating for 24 years We provide diverse range of facilities management solutions to prominent & prestigious buildings in and around the CBD. Our core business units include: · Service & Repairs to Building Maintenance Units (BMUs), · Commercial & Remedial Construction · Height Access Installations & Certifications · High Rise Window Cleaning, About the Team: Join a collaborative and supportive team,…",77500.0
5617111828,Software Engineer,Mercor,"The Rocks, Sydney",,,2026-02-06,IT Jobs,"This is a Software Engineer role with Mercor based in Sydney, NSW, Australia  Mercor  Role Seniority - junior, mid level, senior More about the Software Engineer role at Mercor Mercor is hiring experienced Software Engineering professionals to support a variety of high-impact research collaborations with leading AI labs. Freelancers will help improve AI systems through work on code validation, prompt refinement, algorithmic evaluation, and model benchmarking. This is a unique opportunity to app…",0.0
5637583986,"Principal Engineer, Platform Engineering",ResMed,"The Rocks, Sydney",,,2026-02-20,IT Jobs,"This is a Principal Engineer, Platform Engineering role with ResMed based in Sydney, NSW, AU  ResMed  Role Seniority - senior More about the Principal Engineer, Platform Engineering role at ResMed Global Technology Solutions (GTS) at ResMed is a division dedicated to creating innovative, scalable, and secure platforms and services for patients, providers, and people across ResMed. The primary goal of GTS is to accelerate well-being and growth by transforming the core, enabling patient, people, …",0.0
5637214482,"Lead Engineer, Engineering Productivity",Neara,"The Rocks, Sydney",,,2026-02-20,IT Jobs,"This is a Lead Engineer, Engineering Productivity role with Neara based in Sydney, NSW, AU  Neara  Role Seniority - senior More about the Lead Engineer, Engineering Productivity role at Neara Neara is a high-growth technology company, backed by some of the world’s leading venture capital and private equity investors, including EQT and Partners Group. Neara has developed a software platform that builds sophisticated, engineering-grade 3D digital models of critical infrastructure, delivered under…",0.0
5633012936,Backend Engineer,ezyCollect by Sidetrade,"The Rocks, Sydney",,,2026-02-17,IT Jobs,"This is a Backend Engineer role with ezyCollect by Sidetrade based in Sydney, NSW, AU  ezyCollect by Sidetrade  Role Seniority - mid level More about the Backend Engineer role at ezyCollect by Sidetrade About Founded in Sydney in 2014, ezyCollect by Sidetrade is Australia's leading Order-to-Cash platform for small and mid-sized businesses. We automate credit management, collections, and payments - taking the manual work out of getting paid. Our 1,100 customers manage A$19 billion in receivables…",0.0
5543872973,Engineering Manager,Immutable,"The Rocks, Sydney",,,2025-12-16,IT Jobs,"This is a Engineering Manager role with Immutable based in Sydney, NSW, AU  Immutable  Role Seniority - mid level More about the Engineering Manager role at Immutable About Us  Immutable is a global technology company, powering the leading platform for building games on Ethereum. We are on a mission to build the future of gaming by redefining how games are played and discovered. Founded in 2018, Immutable is one of the fastest Australian companies to hit unicorn status, having raised more than …",0.0
5580171911,DevOps Engineer,Ignition,"The Rocks, Sydney",,,2026-01-12,IT Jobs,"This is a DevOps Engineer role with Ignition based in Sydney, NSW, AU  Ignition  Role Seniority - mid level More about the DevOps Engineer role at Ignition Company Description Who we are: Founded in 2013, Ignition is the recurring revenue and billing automation platform for firms and agencies to transform their sales, billing and payment processes. Ignition automates proposals, invoicing, payments and workflows in a single platform, empowering 8,500 businesses to sell, bill and get paid for the…",0.0
